Index,Category,Type,Effective_Date,Income_Level,Department,TARGET,Input_Timestamp_UTC
DISCOUNT,Top,average,6-Feb-23,Low,TESTING,SQL Server,1709109264
DISCOUNT,Top,average,6-Feb-23,Low,TESTING,SQL Server,1710234895
DISCOUNT,Top,average,8-Jan-24,Low,TESTING,SQL Server,1709109264
DISCOUNT,Top,average,8-Jan-24,Low,TESTING,SQL Server,1707813327
DISCOUNT,Top,average,6-Mar-23,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Mar-23,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Jan-25,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Jan-25,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Apr-23,Low,TESTING,SQL Server,1707813327
DISCOUNT,Forward,medium,6-Apr-23,Low,TESTING,SQL Server,1707813327
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
